sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,n_leaves,date_collected,notes,,,,
696,763,mepo,2,3,1.3,1.4,0.01544,,0.00421,,1,12-Apr-17,,,,,
697,763,mepo,3,1,1.2,1.6,0.01754,,0.00522,,1,12-Apr-17,,,,,
698,763,mepo,3,2,1.2,1.2,0.0123,,0.0043,,1,12-Apr-17,,,,,
699,763,mepo,3,3,1,0.9,0.00605,,0.00202,,1,12-Apr-17,,,,,
700,763,mepo,4,1,1.6,1.5,0.02057,,0.00551,,1,12-Apr-17,,,,,
701,763,mepo,4,2,1.7,1.5,0.01585,,0.0039,,1,12-Apr-17,,,,,
702,763,mepo,4,3,1.6,1.7,0.01951,,0.00549,,1,12-Apr-17,,,,,
703,763,mepo,5,1,1.8,1.4,0.02112,,0.00547,,1,12-Apr-17,,,,,
704,763,mepo,5,2,1.3,1.4,0.01788,,0.00485,,1,12-Apr-17,,,,,
705,763,mepo,5,3,1,1.3,0.01419,,0.00409,,1,12-Apr-17,,,,,
706,763,clpu,1,1,3.3,0.4,0.026,,,,1,12-Apr-17,,,,,
707,763,clpu,1,2,3.2,0.4,0.02488,,,,1,12-Apr-17,,,,,
708,763,clpu,1,3,3.1,0.4,0.02381,,,,1,12-Apr-17,,,,,
709,763,clpu,2,1,2.6,0.4,0.02504,,,,1,12-Apr-17,,,,,
710,763,clpu,2,2,2.8,0.4,0.02606,,,,1,12-Apr-17,,,,,
711,763,clpu,2,3,2.9,0.5,0.02989,,,,1,12-Apr-17,,,,,
712,763,clpu,3,1,2.5,0.3,0.0164,,,,1,12-Apr-17,,,,,
713,763,clpu,3,2,2.2,0.3,0.01268,,,,1,12-Apr-17,,,,,
714,763,clpu,3,3,2.3,0.4,0.01468,,,,1,12-Apr-17,,,,,
715,763,clpu,4,1,3.2,0.4,0.03094,,,,1,12-Apr-17,,,,,
716,763,clpu,4,2,3,0.4,0.02826,,,,1,12-Apr-17,,,,,
717,763,clpu,4,3,2.8,0.5,0.02934,,,,1,12-Apr-17,,,,,
718,763,clpu,5,1,2.5,0.4,0.02171,,,,1,12-Apr-17,,,,,
719,763,clpu,5,2,2.4,0.4,0.02314,,,,1,12-Apr-17,,,,,
720,763,clpu,5,3,2.4,0.4,0.0199,,,,1,12-Apr-17,,,,,
721,763,lowr,1,1,1,0.6,0.02102,,0.0048,,1,12-Apr-17,,,,,
722,763,lowr,1,2,0.9,0.6,0.01779,,0.00451,,1,12-Apr-17,,,,,
723,763,lowr,1,3,1,0.6,0.01926,,0.00383,,1,12-Apr-17,,,,,
724,763,eupe,1,1,0.9,0.4,0.00277,,0.00088,,1,12-Apr-17,,,,,
725,763,eupe,1,2,0.7,0.4,0.00231,,0.00085,,1,12-Apr-17,,,,,
726,763,eupe,1,3,0.8,0.4,0.00247,,0.00088,,1,12-Apr-17,,,,,
727,763,eupe,2,1,1.5,0.6,0.00923,,0.00336,,1,12-Apr-17,,,,,
728,763,eupe,2,2,1.6,0.6,0.0099,,0.00335,,1,12-Apr-17,,,,,
729,763,eupe,2,3,1.3,0.5,0.00684,,0.00258,,1,12-Apr-17,,,,,
730,763,eupe,3,1,1.2,0.5,0.0048,,0.0015,,1,12-Apr-17,,,,,
731,763,eupe,3,2,1.1,0.4,0.00419,,0.00154,,1,12-Apr-17,,,,,
732,763,eupe,3,3,1,0.5,0.00411,,0.00155,,1,12-Apr-17,,,,,
733,763,pler,1,1,6.9,0.3,0.03722,,0.0098,,1,12-Apr-17,,,,,
734,763,pler,1,2,5.9,0.3,0.02656,,0.00701,,1,12-Apr-17,,,,,
735,763,pler,1,3,6.6,0.4,0.04785,,0.01147,,1,12-Apr-17,may be a good idea to exclude this leaf - leaf slightly damaged at tip due to herbivory, removed that area for LMA scan,,,
736,763,pler,2,1,6.3,0.3,0.03111,,0.00863,,1,12-Apr-17,,,,,
737,763,pler,2,2,3,0.2,0.00729,,0.00209,,1,12-Apr-17,,,,,
738,763,pler,2,3,4.8,0.3,0.02922,,0.00738,,1,12-Apr-17,may be a good idea to exclude this leaf - leaf slightly damaged at tip due to herbivory, removed that area for LMA scan,,,
739,763,pler,3,1,5.6,0.2,0.02066,,0.0057,,1,12-Apr-17,,,,,
740,763,pler,3,2,5.5,0.2,0.01807,,0.00471,,1,12-Apr-17,,,,,
741,763,pler,3,3,5.1,0.1,0.01822,,0.00458,,1,12-Apr-17,,,,,
742,763,pler,4,1,3.9,0.2,0.01366,,0.0034,,1,12-Apr-17,,,,,
743,763,pler,4,2,3.8,0.2,0.01521,,0.00432,,1,12-Apr-17,,,,,
744,763,pler,4,3,4.1,0.2,0.01477,,0.00384,,1,12-Apr-17,,,,,
745,763,pler,5,1,4.6,0.2,0.02104,,0.00611,,1,12-Apr-17,,,,,
746,763,pler,5,2,4.7,0.2,0.02367,,0.00678,,1,12-Apr-17,,,,,
747,763,pler,5,3,4.6,0.2,0.02161,,0.00397,,1,12-Apr-17,,,,,
748,762,amme,1,1,4,0.8,0.07045,,0.01174,,1,12-Apr-17,,,,,
749,762,amme,1,2,4.5,0.5,0.07078,,0.01122,,1,12-Apr-17,,,,,
750,762,amme,1,3,4,0.5,0.05185,,0.00844,,1,12-Apr-17,,,,,
751,762,amme,2,1,3.4,0.3,0.03871,,0.0022,,1,12-Apr-17,,,,,
752,762,amme,2,2,3,0.5,0.05611,,0.00866,,1,12-Apr-17,,,,,
753,762,amme,2,3,3.4,0.3,0.03671,,0.00517,,1,12-Apr-17,,,,,
754,762,amme,3,1,2.1,0.5,0.02076,,0.00358,,1,12-Apr-17,,,,,
755,762,amme,3,2,2,0.3,0.01937,,0.00348,,1,12-Apr-17,,,,,
756,762,amme,3,3,1.8,0.5,0.01698,,0.00318,,1,12-Apr-17,,,,,
757,762,amme,4,1,2,0.7,0.02316,,0.00464,,1,12-Apr-17,,,,,
758,762,amme,4,2,2.1,0.5,0.01518,,0.00491,,1,12-Apr-17,,,,,
759,762,amme,4,3,2.4,0.6,0.03297,,0.00592,,1,12-Apr-17,,,,,
760,762,amme,5,1,3.8,0.5,0.06224,,0.01201,,1,12-Apr-17,,,,,
761,762,amme,5,2,3.1,0.5,0.04519,,0.00882,,1,12-Apr-17,,,,,
762,762,amme,5,3,3,0.5,0.03614,,0.00779,,1,12-Apr-17,,,,,
763,762,eupe,1,1,1.7,0.8,0.01477,,0.00598,,1,12-Apr-17,,,,,
764,762,eupe,1,2,1.5,0.8,0.01338,,0.00528,,1,12-Apr-17,,,,,
765,762,eupe,1,3,1.2,0.8,0.0092,,0.00381,,1,12-Apr-17,,,,,
766,762,pler,1,1,4.6,0.2,0.02098,,0.00419,,1,12-Apr-17,may be a good idea to exclude this leaf - leaf slightly damaged at tip due to herbivory, removed that area for LMA scan,,,
767,762,pler,1,2,5.1,0.1,0.01274,,0.0036,,1,12-Apr-17,may be a good idea to exclude this leaf - leaf slightly damaged at tip due to herbivory, removed that area for LMA scan,,,
768,762,pler,1,3,4.5,0.2,0.02035,,0.00513,,1,12-Apr-17,may be a good idea to exclude this leaf - leaf slightly damaged at tip due to herbivory, removed that area for LMA scan,,,
769,762,pler,2,1,6.8,0.3,0.03386,,0.00904,,1,12-Apr-17,,,,,
770,762,pler,2,2,6,0.4,0.04896,,0.01243,,1,12-Apr-17,,,,,
771,762,pler,2,3,5.6,0.3,0.02604,,0.0087,,1,12-Apr-17,,,,,
772,762,pler,3,1,9.4,0.4,0.07468,,0.01662,,1,12-Apr-17,,,,,
773,762,pler,3,2,8.2,0.3,0.05294,,0.01233,,1,12-Apr-17,,,,,
774,762,pler,3,3,6.5,0.4,0.04731,,0.00973,,1,12-Apr-17,may be a good idea to exclude this leaf - leaf slightly damaged at tip due to herbivory, removed that area for LMA scan,,,
775,762,pler,4,1,6.6,0.4,0.05755,,0.01243,,1,12-Apr-17,,,,,
776,762,pler,4,2,5.5,0.4,0.0407,,0.0087,,1,12-Apr-17,,,,,
777,762,pler,4,3,5.1,0.3,0.03364,,0.00712,,1,12-Apr-17,,,,,
778,760,brma,1,1,3.5,0.3,0.01016,,,,1,14-Apr-17,H: 27, W1: 4, W2: 4,,
779,760,brma,1,2,3.8,0.5,0.01711,,,,1,14-Apr-17,,,,,
780,760,brma,1,3,3,0.3,0.00739,,,,1,14-Apr-17,,,,,
781,760,brma,2,1,4.1,0.3,0.01401,,,,1,14-Apr-17,H: 23, W1: 6, W2: 4,,
782,760,brma,2,2,4.5,0.5,0.01939,,,,1,14-Apr-17,,,,,
783,760,brma,2,3,4.4,0.4,0.01621,,,,1,14-Apr-17,,,,,
784,760,brma,3,1,3.8,0.3,0.01034,,,,1,14-Apr-17,"H: 26, W1: 7: w2: 2",,,,
785,760,brma,3,2,4.5,0.3,0.01367,,,,1,14-Apr-17,,,,,
786,760,brma,3,3,5,0.5,0.02157,,,,1,14-Apr-17,,,,,
787,760,brma,4,1,5.5,0.6,0.02911,,,,1,14-Apr-17,H: 26, W1: 6, W2: 11,,
788,760,brma,4,2,4.6,0.4,0.01705,,,,1,14-Apr-17,,,,,
789,760,brma,4,3,5.8,0.4,0.02606,,,,1,14-Apr-17,,,,,
790,760,brma,5,1,4.7,0.4,0.01969,,,,1,14-Apr-17,H: 19, W1: 5, W2: 5,,
791,760,brma,5,2,4.5,0.4,0.01971,,,,1,14-Apr-17,,,,,
792,760,brma,5,3,4.5,0.3,0.01644,,,,1,14-Apr-17,,,,,
793,760,lowr,1,1,1,0.5,0.04489,,0.00972,,1,14-Apr-17,H: 9, W1: 16: W2: 14,,,
794,760,lowr,1,2,1.2,0.6,0.03006,,0.00648,,1,14-Apr-17,growing w 1 other plant,,,,
795,760,lowr,1,3,1.6,0.8,0.04876,,0.01086,,1,14-Apr-17,,,,,
796,760,lowr,2,1,1.4,1.3,0.06757,,0.01264,,1,14-Apr-17,1/2 of the plant measured,,,,
797,760,lowr,2,2,1.3,1,0.04088,,0.00893,,1,14-Apr-17,H: 7, W1: 25, W2: 16,,
798,760,lowr,2,3,1.3,1,0.06741,,0.01248,,1,14-Apr-17,,,,,
799,760,lowr,3,1,1.5,0.9,0.04038,,0.00928,,1,14-Apr-17,1/5 of the plant measured,,,,
800,760,lowr,3,2,1.6,0.8,0.04042,,0.00879,,1,14-Apr-17,H: 7, W1: 25, W2: 15,,
801,760,lowr,3,3,1.5,0.7,0.03083,,0.00711,,1,14-Apr-17,,,,,
802,760,lowr,4,1,1.5,1.2,0.07889,,0.01523,,1,14-Apr-17,H: 9, W1: 11, W2: 8,,
803,760,lowr,4,2,1.3,1,0.03493,,0.00641,,1,14-Apr-17,,,,,
804,760,lowr,4,3,1.6,0.8,0.02559,,0.00535,,1,14-Apr-17,,,,,
805,760,lowr,5,1,1.2,0.8,0.03455,,0.00684,,1,14-Apr-17,1/3 of the plant measured,,,,
806,760,lowr,5,2,1.7,1.5,0.07669,,0.01452,,1,14-Apr-17,H: 5, W1: 23, W2: 17,,
807,760,lowr,5,3,1.3,1.2,0.0376,,0.00711,,1,14-Apr-17,,,,,
808,760,saco,1,1,6.3,3.7,0.31192,,0.07474,,1,14-Apr-17,H: 25, W1: 18, W2: 16,,
809,760,saco,1,2,6.5,3.9,0.31761,,0.08204,,1,14-Apr-17,,,,,
810,760,saco,1,3,5.1,2.4,0.15889,,0.04141,,1,14-Apr-17,,,,,
811,760,saco,2,1,6,2.5,0.19105,,0.03494,,1,14-Apr-17,H: 10, W1: 10, W2: 7,,
812,760,saco,2,2,3,1.2,0.06019,,0.0115,,1,14-Apr-17,,,,,
813,760,saco,2,3,6.5,2.5,0.22975,,0.04377,,1,14-Apr-17,,,,,
814,760,saco,3,1,5.1,2.1,0.20403,,0.04378,,1,14-Apr-17,H: 7, W1: 13, W2: 10,,
815,760,saco,3,2,4.8,1.9,0.16726,,0.03611,,1,14-Apr-17,,,,,
816,760,saco,3,3,4.4,1.6,0.13787,,0.03122,,1,14-Apr-17,,,,,
817,760,saco,4,1,4.4,1.5,0.0997,,0.02084,,1,14-Apr-17,H: 18, W1: 6, W2: 5,,
818,760,saco,4,2,4.5,1.6,0.07927,,0.01622,,1,14-Apr-17,,,,,
819,760,saco,4,3,2.1,1.3,0.03714,,0.00786,,1,14-Apr-17,"leaf very young, might be still delevoping",,,,
820,760,saco,5,1,2.6,1.8,0.11184,,0.02319,,1,14-Apr-17,H: 22, W1: 8, W2: 5,,
821,760,saco,5,2,4.1,2,0.14235,,0.03114,,1,14-Apr-17,,,,,
822,760,saco,5,3,2.6,1.1,0.04516,,0.010166,,1,14-Apr-17,,,,,
823,760,chgl,1,1,2.9,1.6,0.05609,,0.01213,,1,14-Apr-17,H: 11, W1: 5, W2: 4,,
824,760,chgl,1,2,3.2,1.1,0.05536,,0.00972,,1,14-Apr-17,,,,,
825,760,chgl,1,3,2.9,0.6,0.05235,,0.01113,,1,14-Apr-17,,,,,
826,760,chgl,2,1,2.7,1.1,0.07976,,0.01336,,1,14-Apr-17,H: 7, W1: 9, W2: 10,,
827,760,chgl,2,2,3.6,1,0.08746,,0.01472,,1,14-Apr-17,,,,,
828,760,chgl,2,3,3,1,0.08464,,0.01522,,1,14-Apr-17,,,,,
829,760,chgl,3,1,4,0.9,0.07915,,0.01239,,1,14-Apr-17,H: 14.5, W1: 7, W2: 6,,
830,760,chgl,3,2,3.5,0.5,0.06652,,0.00975,,1,14-Apr-17,,,,,
831,760,chgl,3,3,1.6,0.5,0.02125,,0.00366,,1,14-Apr-17,,,,,
832,760,chgl,4,1,1.6,0.3,0.01404,,0.00216,,1,14-Apr-17,H: 8, W1: 6, W2: 4,,
833,760,chgl,4,2,1.6,0.2,0.01262,,0.00183,,1,14-Apr-17,,,,,
834,760,chgl,4,3,1.5,0.2,0.01118,,0.00183,,1,14-Apr-17,,,,,
835,760,laca,1,1,1.2,0.1,0.00314,,0.0005,,1,14-Apr-17,H: 9, W1: 1, W2: 1,,
836,760,laca,1,2,1.6,0.1,0.00675,,0.00095,,1,14-Apr-17,,,,,
837,760,laca,1,3,1.2,0.1,0.00299,,0.00058,,1,14-Apr-17,,,,,
838,760,laca,2,1,0.7,0.1,0.0014,,0.00035,,1,14-Apr-17,H: 7.5, W1: 1, W2: 1,,
839,760,laca,2,2,0.8,0.1,0.00157,,0.00039,,1,14-Apr-17,,,,,
840,760,laca,2,3,NA,NA,NA,,NA,,1,14-Apr-17,only two leaves,,,,
841,760,laca,3,1,1.6,0.1,0.00517,,0.00132,,1,14-Apr-17,H: 11, W1: 8, W2: 2,,
842,760,laca,3,2,1.3,0.1,0.00232,,0.00061,,1,14-Apr-17,,,,,
843,760,laca,3,3,1.1,0.1,0.00247,,0.00063,,1,14-Apr-17,,,,,
844,760,laca,4,1,1.4,0.1,0.00519,,0.00124,,1,14-Apr-17,H: 14, W1: 7, W2: 5,,
845,760,laca,4,2,1,0.2,0.00441,,0.00114,,1,14-Apr-17,,,,,
846,760,laca,4,3,1,0.2,0.00367,,0.00086,,1,14-Apr-17,,,,,
847,760,pler,1,1,7.8,0.2,0.04372,,0.01136,,1,14-Apr-17,H: 12, W1: 8, W2: 6.5,,
848,760,pler,1,2,6,0.2,0.0201,,0.00441,,1,14-Apr-17,,,,,
849,760,pler,1,3,4.5,0.1,0.01363,,0.00285,,1,14-Apr-17,,,,,
850,760,pler,2,1,8,0.2,0.04806,,0.01131,,1,14-Apr-17,H: 15, W1: 6, W2: 4,,
851,760,pler,2,2,7.2,0.2,0.03314,,0.0094,,1,14-Apr-17,,,,,
852,760,pler,2,3,7.3,0.3,0.04212,,0.00787,,1,14-Apr-17,,,,,
853,760,pler,3,1,6.5,0.3,0.03935,,0.01064,,1,14-Apr-17,H: 9, W1: 5, W2: 4,,
854,760,pler,3,2,5.8,0.3,0.03048,,0.00849,,1,14-Apr-17,,,,,
855,760,pler,3,3,5.8,0.2,0.02348,,0.00709,,1,14-Apr-17,,,,,
856,760,pler,4,1,6.6,0.4,0.05436,,0.01359,,1,14-Apr-17,H: 11, W1: 7, W2: 5,,
857,760,pler,4,2,6.5,0.3,0.03905,,0.0101,,1,14-Apr-17,,,,,
858,760,pler,4,3,4.6,0.2,0.02044,,0.00578,,1,14-Apr-17,,,,,
859,760,pler,5,1,7.5,0.3,0.04061,,0.01092,,1,14-Apr-17,H 14.5, W1: 5, W2: 5,,
860,760,pler,5,2,8.4,0.3,0.05526,,0.01447,,1,14-Apr-17,,,,,
861,760,pler,5,3,5.2,0.2,0.02219,,0.0063,,1,14-Apr-17,,,,,
862,non_plot,anar,1,1,1,0.75,0.01548,,0.0027,,1,14-Apr-17,,,,,
863,non_plot,anar,1,2,1.25,1,0.0297,,0.0037,,1,14-Apr-17,,,,,
864,non_plot,anar,1,3,1,0.75,0.01273,,0.0018,,1,14-Apr-17,,,,,
865,non_plot,anar,2,1,1,2,0.01445,,0.0026,,1,14-Apr-17,,,,,
866,non_plot,anar,2,2,0.75,0.5,0.00858,,0.0017,,1,14-Apr-17,,,,,
867,non_plot,anar,2,3,1,0.5,0.01089,,0.0014,,1,14-Apr-17,,,,,
868,non_plot,anar,3,1,1.25,1,0.01974,,0.0031,,1,14-Apr-17,,,,,
869,non_plot,anar,3,2,1.5,1,0.02193,,0.004,,1,14-Apr-17,,,,,
870,non_plot,anar,3,3,1.25,1,0.02191,,0.0036,,1,14-Apr-17,,,,,
871,non_plot,anar,4,1,1.25,1,0.02013,,0.0038,,1,14-Apr-17,,,,,
872,non_plot,anar,4,2,1.25,1,0.02387,,0.0043,,1,14-Apr-17,,,,,
873,non_plot,anar,4,3,0.75,0.75,0.00941,,0.0019,,1,14-Apr-17,,,,,
874,non_plot,anar,5,1,1.25,1,0.01396,,0.002,,1,14-Apr-17,,,,,
875,non_plot,anar,5,2,1.25,0.75,0.01327,,0.0019,,1,14-Apr-17,,,,,
876,non_plot,anar,5,3,1.25,0.75,0.01242,,0.0019,,1,14-Apr-17,,,,,
877,non_plot,anar,6,1,1.5,1,0.02092,,0.0044,,1,14-Apr-17,,,,,
878,non_plot,anar,6,2,1.5,1.25,0.03204,,0.0062,,1,14-Apr-17,,,,,
879,non_plot,anar,6,3,1.1,0.75,0.01216,,0.0024,,1,14-Apr-17,,,,,
880,non_plot,anar,7,1,1.25,1,0.02223,,0.0027,,1,14-Apr-17,,,,,
881,non_plot,anar,7,2,1.1,1,0.01318,,0.0028,,1,14-Apr-17,,,,,
882,non_plot,anar,7,3,1,0.75,0.01318,,0.003,,1,14-Apr-17,,,,,
883,non_plot,anar,8,1,1.1,0.75,0.01098,,0.0025,,1,14-Apr-17,,,,,
884,non_plot,anar,8,2,1,0.75,0.00974,,0.0019,,1,14-Apr-17,,,,,
885,non_plot,anar,8,3,1,0.75,0.00724,,0.0019,,1,14-Apr-17,,,,,
886,741,vuma,1,1,4.35,0.2,0.01025,,0.00359,,1,15-Apr-17,,,,,
887,741,vuma,1,2,3.5,0.1,0.00518,,0.00192,,1,15-Apr-17,,,,,
888,741,vuma,1,3,4.25,0.1,0.00767,,0.00285,,1,15-Apr-17,,,,,
889,741,vuma,2,1,4.5,0.1,0.01167,,0.00462,,1,15-Apr-17,,,,,
890,741,vuma,2,2,4,0.1,0.00784,,0.00305,,1,15-Apr-17,,,,,
891,741,vuma,2,3,3,0.2,0.01063,,0.00364,,1,15-Apr-17,,,,,
892,741,vuma,3,1,4,0.2,0.01131,,0.00427,,1,15-Apr-17,,,,,
893,741,vuma,3,2,3.75,0.2,0.01015,,0.00372,,1,15-Apr-17,,,,,
894,741,vuma,3,3,6,0.2,0.02003,,0.00772,,1,15-Apr-17,,,,,
895,741,vuma,4,1,4,0.2,0.01268,,0.00417,,1,15-Apr-17,,,,,
896,741,vuma,4,2,3.75,0.2,0.00719,,0.0021,,1,15-Apr-17,,,,,
897,741,vuma,4,3,7,0.3,0.02821,,0.0112,,1,15-Apr-17,,,,,
898,741,vuma,5,1,3,0.2,0.00687,,0.00236,,1,15-Apr-17,,,,,
899,741,vuma,5,2,3,0.2,0.00627,,0.00224,,1,15-Apr-17,,,,,
900,741,vuma,5,3,2.75,0.1,0.00571,,0.0023,,1,15-Apr-17,,,,,
901,741,brma,1,1,5,0.4,0.01898,,0.00619,,1,15-Apr-17,,,,,
902,741,brma,1,2,4.5,0.4,0.01728,,0.00476,,1,15-Apr-17,,,,,
903,741,brma,1,3,5.5,0.4,0.02927,,0.01027,,1,15-Apr-17,,,,,
904,741,brma,2,1,4.5,0.4,0.01015,,0.00259,,1,15-Apr-17,,,,,
905,741,brma,2,2,4,0.3,0.00896,,0.00237,,1,15-Apr-17,,,,,
906,741,brma,2,3,3,0.3,0.01126,,0.00268,,1,15-Apr-17,,,,,
907,741,brma,3,1,4,0.3,0.00909,,0.00285,,1,15-Apr-17,,,,,
908,741,brma,3,2,3.25,0.4,0.01584,,0.00562,,1,15-Apr-17,,,,,
909,741,brma,3,3,3,0.3,0.00916,,0.00283,,1,15-Apr-17,,,,,
910,741,brma,4,1,2,0.2,0.00463,,0.00146,,1,15-Apr-17,,,,,
911,741,brma,4,2,1.5,0.2,0.00295,,0.001,,1,15-Apr-17,,,,,
912,741,brma,4,3,NA,NA,NA,,NA,,1,15-Apr-17,only two leaves,,,,
913,741,brma,5,1,2,0.2,0.00923,,0.00259,,1,15-Apr-17,,,,,
914,741,brma,5,2,2,0.2,0.00656,,0.00214,,1,15-Apr-17,,,,,
915,741,brma,5,3,2,0.2,0.00806,,0.00239,,1,15-Apr-17,,,,,
916,741,homu,1,1,3.25,0.5,0.02364,,0.00551,,1,15-Apr-17,all leaves split across 2 scans,,,,
917,741,homu,1,2,4.5,0.5,0.03127,,0.00745,,1,15-Apr-17,,,,,
918,741,homu,1,3,5.5,0.5,0.03635,,0.00942,,1,15-Apr-17,,,,,
919,741,homu,2,1,4,0.4,0.02344,,0.00532,,1,15-Apr-17,,,,,
920,741,homu,2,2,3,0.4,0.01573,,0.00404,,1,15-Apr-17,,,,,
921,741,homu,2,3,3.5,0.4,0.03087,,0.00781,,1,15-Apr-17,,,,,
922,741,homu,3,1,4.25,0.4,0.02394,,0.00554,,1,15-Apr-17,,,,,
923,741,homu,3,2,4.25,0.4,0.02399,,0.005,,1,15-Apr-17,,,,,
924,741,homu,3,3,4.25,0.4,0.02741,,0.00624,,1,15-Apr-17,,,,,
925,741,homu,4,1,4.5,0.4,0.03712,,0.00835,,1,15-Apr-17,all leaves split across 2 scans,,,,
926,741,homu,4,2,3.5,0.4,0.02215,,0.00525,,1,15-Apr-17,,,,,
927,741,homu,4,3,5.5,0.4,0.03577,,0.00824,,1,15-Apr-17,,,,,
928,741,homu,5,1,5.5,0.4,0.03226,,0.00777,,1,15-Apr-17,all leaves split across 2 scans,,,,
929,741,homu,5,2,4,0.4,0.02414,,0.00597,,1,15-Apr-17,,,,,
930,741,homu,5,3,5.5,0.4,0.0277,,0.00665,,1,15-Apr-17,,,,,
931,741,eupe,1,1,1.3,0.6,0.00839,,0.00245,,1,15-Apr-17,,,,,
932,741,eupe,1,2,1.5,0.7,0.01258,,0.00359,,1,15-Apr-17,,,,,
933,741,eupe,1,3,1.3,0.7,0.01135,,0.00322,,1,15-Apr-17,,,,,
934,741,eupe,2,1,1.3,0.9,0.01741,,0.00402,,1,15-Apr-17,,,,,
935,741,eupe,2,2,1,0.8,0.00805,,0.00215,,1,15-Apr-17,,,,,
936,741,eupe,2,3,1.3,1,0.0146,,0.00342,,1,15-Apr-17,,,,,
937,741,eupe,3,1,1.3,0.7,0.01048,,0.00241,,1,15-Apr-17,,,,,
938,741,eupe,3,2,1,0.7,0.00761,,0.00186,,1,15-Apr-17,,,,,
939,741,eupe,3,3,1,0.7,0.00653,,0.00169,,1,15-Apr-17,,,,,
940,741,saco,1,1,3.2,2,0.10505,0.0151,0.01804,0.00247,1,15-Apr-17,,,,,
941,741,saco,1,2,3.5,2.2,0.13132,0.01956,0.02326,0.00337,1,15-Apr-17,,,,,
942,741,saco,1,3,2.9,1.8,0.07952,0.01113,0.01355,0.00175,1,15-Apr-17,,,,,
943,741,saco,2,1,2.8,2.5,0.10487,0.01596,0.02468,0.00361,1,15-Apr-17,,,,,
944,741,saco,2,2,3.3,2.2,0.11673,0.01738,0.028,0.00377,1,15-Apr-17,,,,,
945,741,saco,2,3,2.6,1.3,0.07914,0.00416,0.0197,0.00108,1,15-Apr-17,,,,,
946,741,saco,3,1,2.2,1.3,0.0596,0.0042,0.01578,0.00081,1,15-Apr-17,,,,,
947,741,saco,3,2,2.3,1.2,0.06537,0.00459,0.01677,0.00096,1,15-Apr-17,,,,,
948,741,saco,3,3,1.8,1.1,0.04705,0.00931,0.0112,0.00184,1,15-Apr-17,,,,,
949,743,mica,1,1,1.5,0.4,0.00591,,0.00196,,1,15-Apr-17,,,,,
950,743,mica,1,2,1.4,0.2,0.00456,,0.0014,,1,15-Apr-17,,,,,
951,743,mica,1,3,0.9,0.2,0.00166,,0.00056,,1,15-Apr-17,,,,,
952,743,mica,2,1,0.8,0.2,0.00136,,0.00044,,1,15-Apr-17,,,,,
953,743,mica,2,2,0.9,0.2,0.00166,,0.00046,,1,15-Apr-17,,,,,
954,743,mica,2,3,0.8,0.2,0.00151,,0.00035,,1,15-Apr-17,,,,,
955,743,mica,3,1,0.9,0.3,0.00188,,0.00056,,1,15-Apr-17,,,,,
956,743,mica,3,2,1,0.3,0.00203,,0.0006,,1,15-Apr-17,,,,,
957,743,mica,3,3,0.9,0.3,0.00181,,0.00051,,1,15-Apr-17,,,,,
958,743,laca,6,1,1.6,0.2,0.00482,,0.0019,,1,15-Apr-17,,,,,
959,743,laca,6,2,1.6,0.2,0.00549,,0.00145,,1,15-Apr-17,,,,,
960,743,laca,6,3,1.2,0.2,0.00298,,0.00074,,1,15-Apr-17,,,,,
961,743,laca,7,1,1.1,0.1,0.0035,,0.00071,,1,15-Apr-17,,,,,
962,743,laca,7,2,1,0.1,0.00369,,0.00056,,1,15-Apr-17,,,,,
963,743,laca,7,3,0.9,0.1,0.00226,,0.00046,,1,15-Apr-17,,,,,
964,743,laca,8,1,1.5,0.2,0.00577,,0.00118,,1,15-Apr-17,,,,,
965,743,laca,8,2,1.6,0.2,0.00565,,0.00116,,1,15-Apr-17,,,,,
966,743,laca,8,3,0.9,0.2,0.0021,,0.00044,,1,15-Apr-17,,,,,
967,741,amme,1,1,8.4,1.6,0.39455,,0.0589,,1,15-Apr-17,all leaves split across 2 scans,,,,
968,741,amme,1,2,4.6,0.7,0.07067,,0.01023,,1,15-Apr-17,,,,,
969,741,amme,1,3,7,1.4,0.27851,,0.04135,,1,15-Apr-17,,,,,
970,742,amme,1,1,2.8,0.8,0.05047,,0.01081,,1,15-Apr-17,,,,,
971,742,amme,1,2,2.9,0.8,0.04438,,0.00957,,1,15-Apr-17,,,,,
972,742,amme,1,3,2.1,0.6,0.02869,,0.00689,,1,15-Apr-17,,,,,
973,742,amme,2,1,2.5,0.4,0.02663,,0.00548,,1,15-Apr-17,,,,,
974,742,amme,2,2,2.5,0.5,0.02536,,0.00527,,1,15-Apr-17,,,,,
975,742,amme,2,3,1.9,0.4,0.01825,,0.00425,,1,15-Apr-17,,,,,
976,741,aghe,1,1,5.2,0.2,0.01619,,0.00271,,1,15-Apr-17,,,,,
977,741,aghe,1,2,5.7,0.3,0.01576,,0.00305,,1,15-Apr-17,,,,,
978,741,aghe,1,3,5.9,0.2,0.01887,,0.00342,,1,15-Apr-17,,,,,
979,741,pler,1,1,4.8,0.4,0.04356,,0.00812,,1,15-Apr-17,,,,,
980,741,pler,1,2,5,0.3,0.03885,,0.00793,,1,15-Apr-17,,,,,
981,741,pler,1,3,4.6,0.2,0.02181,,0.00438,,1,15-Apr-17,,,,,
